sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
102,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Ramgram, Nawalparasi",9363155.14,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/04
103,Bharatpur Metropolitian City Office,Construction of Drain from Buddha Chowk canal to Bishal chowk Bmc 07,3968712.74,Works,NCB,Completed,41-BMC/2078/079/W/NCB/121
104,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Devdaha Municipality, Rupandehi",6682408.91,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/10
105,"Urban Development and Building Office, Rupandehi","Construction of Footpath and Drain at Mahalawar-majdiya Road and Padhariya-Masjid, Lumbini Sanskritik, Rupandehi",14013671.95,Works,NCB,Completed,UDB-RUP/33704014/NCB/077-78/07
106,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Naurange Sayapatri Marga Street no 7 and 12, BMC-11",3798079.72,Works,NCB,Completed,40-BMC/2078/079/W/NCB/118
107,Bharatpur Metropolitian City Office,Blacktopping of Different Roads in BMC-25 (4 Roads),10067306.00,Works,NCB,Completed,18-BMC/2078/079/W/NCB/41
108,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Sandikharka Bazar, Arghakhachi",8857262.55,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/14
109,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Sitganga Municipality, Arghakhachi",8940572.07,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/15
110,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road Construction from Keuri Ghol Pul to Binod  Mahato's House to Milan Samuha to Ramlal Chowk to Bangala, BMC-26""",9514847.75,Works,NCB,Completed,18-BMC/2078/079/W/NCB/42
111,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road from Padam Pokhari Shivalaya Chowk to Aas  Bahadur's House Chowk Towards North, BMC-22""",4196236.95,Works,NCB,Completed,18-BMC/2078/079/W/NCB/43
112,"Urban Development and Building Office, Ilam","Integrated Development Work at FAlgunanda Buspark at Damak-2, Jhapa",151986872.13,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/11/075-76
113,"Urban Development and Building Office, Rupandehi","Construction of Footpath  at Kalikapath Butwal, Rupandehi",45432550.88,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/20
114,"Urban Development and Building Office, Rupandehi","Construction of Footpath and Drain(Remaining Works)at Kalikapath,Butwal,Rupandehi",11650443.33,Works,NCB,In-Progress,UDB-RUP/33704014/NCB/077-78/21
115,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road from Hari Prasad Sapkota's House to Ward no 17  Territory in East, BMC-19""",2165894.26,Works,NCB,Completed,18-BMC/2078/079/W/NCB/44
116,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Akabarpur Katautiya Trail Bridge",29514138.68,Works,NCB,Completed,NCB-14/078/79
117,Bharatpur Metropolitian City Office,"Construction of stone masonary wall at Pungikhola, BMC 01",1104643.93,Works,Sealed Quotation,Completed,29-BHR/2078/079/W/NCB/83
118,Bharatpur Metropolitian City Office,Different Road Construction Works at BMC-09,6018149.00,Works,NCB,Completed,29-BHR/2078/079/W/NCB/85
119,"Urban Development and Building Office, Ilam","Construction of Blacktop Road from Solmari Chowk to Sarangpada Bazar, Kamal Gaupalika, Jhapa",38318890.40,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/08/076-077
120,Bharatpur Metropolitian City Office,"Multipurpose Building Construction works for Federation of Nepal Beekepers,BMC 12 chitwan",3467367.99,Works,NCB,Completed,30-BHR/2078/079/W/NCB/87
121,Bharatpur Metropolitian City Office,Procurement of Disaster Relief Supplies for BMC,1289555.00,Goods,Sealed Quotation,Completed,20-BMC/2078/079/G/SQ/49-RE
122,Bharatpur Metropolitian City Office,Road Construction at Different wards of bharatpur metropolitan city (ward 11 12 15 16 23),34868629.64,Works,NCB,In-Progress,30-BHR/2078/079/W/NCB/88
123,Bharatpur Metropolitian City Office,"Road Upgradation Works with Drainage System in Indra Marga, BMC-9",995577.69,Works,Sealed Quotation,Completed,20-BMC/2078/079/W/SQ/50
124,Bharatpur Metropolitian City Office,"Kerunga River Beautification RCC wall Construction at Kerunga Ghol,Ward no 9",28314300.11,Works,NCB,Completed,30-BHR/2078/079/W/NCB/89
125,Bharatpur Metropolitian City Office,Blacktopped Road And Drain Construction at Bharatpur Ward No. 2,3257155.51,Works,NCB,In-Progress,29-BHR/2078/079/W/NCB/93
126,"Infrastructure Development office, Rupandehi","Malwar Devi Korange tole Rastrapati Marg Haraiya Nanauli Road ,Rupandehi",14542708.09,Works,NCB,In-Progress,RIDORUP/RUP/134/NCB/078-79/153
127,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Hemlal Tole, BMC-23",3745165.82,Works,NCB,In-Progress,40-BMC/2078/079/W/NCB/117
128,Bharatpur Metropolitian City Office,"Maintenance Of Different Roads of Ward no. 7, BMC",3121579.77,Works,NCB,In-Progress,23-BMC/2078/079/W/NCB/57
129,Bharatpur Metropolitian City Office,"Maintenance Of Conference Hall Of Family Planning Association Of Nepal, BMC 12",1656719.22,Works,Sealed Quotation,Completed,RE-39-BMC/2078/079/W/SQ/116
130,Bharatpur Metropolitian City Office,"""Laxman Paudel Gharchowk Dekhi Manav Seva Aashram Hudai Newroad Jane Tarfa  Drain Nirman kaarya, BMC 3""",4054859.00,Works,NCB,Completed,23-BMC/2078/079/W/NCB/59
131,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Balkrishna Subedi’s House to Rangila Pokhari to Aslal Guru’s House (BMC-21),3280429.00,Works,NCB,In-Progress,29-BHR/2078/079/W/NCB/94
132,Bharatpur Metropolitian City Office,Periodic Maintenance Works of Pulchowk-Narayangarh Buspark Road Section at  Bharatpur,19169905.00,Works,NCB,In-Progress,1-BMC/2078/079/W/NCB/1
133,Bharatpur Metropolitian City Office,Blacktopped road construction (Patlaharu Tharu Village to Panchakanya Chowk) at BMC 22,2372651.72,Works,NCB,In-Progress,35-BHR/2078/079/W/NCB/105
134,Bharatpur Metropolitian City Office,"""Chokraj Dhakalko Ghar Bata Paschim Tarfa 13 ra 14 ko Simana Hudai Salitaareko  Ghar Samma Sadak Kaalopatre""",3222332.37,Works,NCB,In-Progress,23-BMC/2078/079/W/NCB/60
135,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,3938545.32,Works,NCB,In-Progress,38-BMC/2078/079/W/NCB/106
136,Bharatpur Metropolitian City Office,ward 22 chowk dekhi paschim kurmiya chowk samma kalopatre kaam,6787779.64,Works,NCB,In-Progress,23-BMC/2078/079/W/NCB/61
137,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Milijuli Chowk To Nursery Chowk, BMC-16",4602969.12,Works,NCB,Completed,39-BMC/2078/079/W/NCB/107
138,Bharatpur Metropolitian City Office,Procurement of Sanitary Pad as per Specification.,9263399.98,Goods,NCB,Completed,2-BMC/2078/079/G/NCB/2
139,Bharatpur Metropolitian City Office,"Blacktopped Road Construction works(From Telauli Medical Chowk to Til Kumari sunars house, Chitaunes house to bridge muna chowk to dal bahadur ales house telauli kshetri chowk to janakalyan and shanka",4079458.77,Works,NCB,Completed,29-BHR/2078/079/W/NCB/96
140,"Urban Development and Building Office, Rupandehi","Building Construction Work  of Maternity Block at Bhim Hospital, Bhairahawa, Rupandehi",96593588.04,Works,NCB,In-Progress,UDB-RUP/35000021/NCB/077-78/33
141,"Urban Development and Building Office, Ilam","Construction of Physical Infrastructures at Kankai Muktighat, Shivasatashi, Jhapa",25177870.36,Works,NCB,Completed,UDBO/ILAM/W/NCB/05/075-76
142,Bharatpur Metropolitian City Office,Blacktopped Road Construction Works(Hemlal Mahatoko Culvert Dekhi Purba Dadrahani Chowk Jane Bato) BMC20,4381654.67,Works,NCB,In-Progress,39-BMC/2078/079/W/NCB/108
143,Bharatpur Metropolitian City Office,"construction of Tekwando Dojangko Covered Hall, BMC 26 chitwan",3385312.20,Works,NCB,In-Progress,35-BMC/2078/079/W/NCB/97
144,"Urban Development and Building Office, Rupandehi","Building Construction Work of Veterinary Referral Hospital, Bhairahawa, Rupandehi",108755917.17,Works,NCB,In-Progress,UDB-RUP/33704013/NCB/077-78/34
145,Bharatpur Metropolitian City Office,"Blacktopped Road construction from basanta chowk to shree krishna sir's house to baburam chowk,BMC-18",2554046.34,Works,NCB,In-Progress,35-BMC/2078/079/W/NCB/98
146,Bharatpur Metropolitian City Office,"Construction of Additional Storey in Sukranagar Health Post, BMC-25",2843119.23,Works,NCB,Completed,37-BMC/2078/079/W/NCB/102
147,"Urban Development and Building Office, Rupandehi","Upgrading  works of Road at Magarmudaha  & Basnta ma.vi Tola ( Ekikrit Basti Bikas), Sarawal",14581704.87,Works,NCB,In-Progress,UDB-RUP/33704012/NCB/077-78/38
148,Bharatpur Metropolitian City Office,"Construction of ward office Building, Bharatur",13051750.44,Works,NCB,In-Progress,37-BMC/2078/079/W/NCB/103
149,Bharatpur Metropolitian City Office,Procurement of Stationery-Masland related Goods.,6575074.50,Goods,NCB,Completed,3-BMC/2078/079/G/NCB/3
150,Bharatpur Metropolitian City Office,Blacktopped road construction (Patlaharu Tharu Village to Panchakanya Chowk) at BMC 22,2372651.72,Works,NCB,In-Progress,38-BMC/2078/079/W/NCB/105
151,"Urban Development and Building Office, Rupandehi","Construction of Truss Building at Prithivi Chandra Hospital,Parasi,West Nawalparasi",12680837.85,Works,NCB,Completed,UDB-RUP/33704013/NCB/077-78/44
152,Bharatpur Metropolitian City Office,"Procurement of Printed Forms and Documents for Office, BMC",1886094.30,Goods,NCB,Completed,4-BMC/2078/079/G/NCB/4
153,Bharatpur Metropolitian City Office,Blacktopped Road Construction on Bharatpur ward no. 15.(Ghumaune chowk Yelauli chowk-Suryanagar School-Suryaratna Chowk Road Sectio,41846863.96,Works,NCB,In-Progress,5-BMC/2078/079/W/NCB/7
154,Bharatpur Metropolitian City Office,"Blacktopped Road Maintenance and Rigid Pavement Works at Different Ward of  Bharatpur Metropolitan city.""",63782797.13,Works,NCB,In-Progress,6-BMC/2078/079/W/NCB/8
155,"Urban Development and Building Office, Rupandehi","Province Library Building Construction Work,Butwal-12,Rupandehi",28842011.76,Works,NCB,In-Progress,UDB-RUP/350000194/077-78/48
156,Bharatpur Metropolitian City Office,"Gravel Road Maintenance and Filling Works at Different ward of Bharatpur  Metropolitan City.""",16253920.00,Works,NCB,In-Progress,8-BMC/2078/079/W/NCB/10
157,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from South of Nahar Chowk to Rajendra Sankhi's House, BMC-14",2528763.16,Works,NCB,Completed,42-BMC/2078/079/W/NCB/125
158,Bharatpur Metropolitian City Office,Construction of Blacktop ped Roads in different Toles of BMC-7,9026258.36,Works,NCB,In-Progress,42-BMC/2078/079/W/NCB/126
159,"Urban Development and Building Office, Rupandehi","Construction of Academic (Block A and B) & Hostel (Girls Block and Boys Block) Building, Kanti Ma. Vi., Butwal-4, Kantipath, Rupandehi",136501957.59,Works,NCB,Completed,UDB-RUP/35000014/NCB/076-77/47
160,Bharatpur Metropolitian City Office,"Blacktopped Road Construction At Ward no 2, (sichaai)",3535572.25,Works,NCB,Completed,24-BMC/2078/079/W/NCB/64
161,"Urban Development and Building Office, Rupandehi","Building Construction Works of Water Supply & Sanitation Division Office at Yogikuti, Rupandehi.",16188101.93,Works,NCB,In-Progress,UDB-RUP/34701013/NCB/078-79/39
162,Bharatpur Metropolitian City Office,Supply and Delivery of NP3 Hume Pipes Of Different Sizes At BMC(1-29),1735397.50,Goods,Sealed Quotation,Completed,43-BMC/2078/079/G/SQ/127
163,Bharatpur Metropolitian City Office,Supply and Delivery of NP3 Hume Pipe at Bharatpur Metropolitan City,3012693.00,Goods,NCB,Completed,8-BMC/2078/079/G/NCB/11
164,Bharatpur Metropolitian City Office,"""Madhybindu Tole Bikas Sanstha Antargat Purba Ganesh Chowksamma Kalopatre  Nirman Kaary, BMC 07""",3703298.72,Works,NCB,Completed,24-BMC/2078/079/W/NCB/65
165,Bharatpur Metropolitian City Office,"Blacktopped Road Construction (Namaste Chowk Purba Sadak), BMC-14",2445101.62,Works,NCB,Completed,43-BMC/2078/079/W/NCB/129
166,Bharatpur Metropolitian City Office,Construction of Surface Drainage System in BMC-10,6902223.68,Works,NCB,Completed,9-BMC/2078/079/W/NCB/12
167,Bharatpur Metropolitian City Office,"Road Construction Works At Prerana Marga, Baikuntha path, BMC-4",729062.89,Works,Sealed Quotation,Completed,25-BMC/2078/079/W/SQ/67
168,Bharatpur Metropolitian City Office,"Drainage and Blacktopped Road Construction , BMC-10 (Purano Synergy Chowk Dekhi Naya Synergy chowk samma)",2530618.28,Works,NCB,Completed,43-BMC/2078/079/W/NCB/130
169,Bharatpur Metropolitian City Office,"Construction Of RCC Box Culvert , Ward no 1 Devghat",2347724.61,Works,NCB,Completed,25-BMC/2078/079/W/NCB/68
170,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Bharatpur Ward No. 22,6309690.18,Works,NCB,In-Progress,9-BMC/2078/079/W/NCB/13
171,Bharatpur Metropolitian City Office,"Blacktopped Road Construction (Shital Path Prakash Tiwariko Ghar Line), BMC-9",1623640.50,Works,Sealed Quotation,Completed,43-BMC/2078/079/W/SQ/131
172,Bharatpur Metropolitian City Office,"Police chauki agadiko bato slab dhalan (Devghat, BMC 1)",1659577.33,Works,NCB,Completed,24-BMC/2078/079/W/NCB/69
173,Bharatpur Metropolitian City Office,"Construction Of Additional Storey On Existing Ward Office Building , Ward No.22",7151887.80,Works,NCB,In-Progress,9-BMC/2078/079/W/NCB/14
174,Bharatpur Metropolitian City Office,"Supply and Delivery of Furniture and Fixtures at Bharatpur Metropolitan  City.""",10010670.00,Goods,NCB,Completed,9-BMC/2078/079/G/NCB/15
175,Bharatpur Metropolitian City Office,Supply and Delivery of Concrete Ring as per Specification at Bharatpur Metropolitan  City.,1630092.80,Goods,Sealed Quotation,Completed,11-BMC/2078/079/G/SQ/17
176,Bharatpur Metropolitian City Office,Supply and Delivery of Ladies Bicycle as per Specification at Bharatpur Metropolitan City  Office.,1457355.35,Goods,Sealed Quotation,Completed,RE-11-BMC/2078/079/G/SQ/18
177,Dumre-Besishahar-Chame Road Project,"Reactive Maintenance works on Dumre Besishahar Road [Ch: 8+300=9+500], Tanahun",11365873.58,Works,NCB,In-Progress,DBCRP/33701121/078/79-02
178,Bharatpur Metropolitian City Office,Construction of Costumer Waiting House at Bharatpur Metropolitan City  Office Premises.,1205440.50,Works,Sealed Quotation,Completed,11-BMC/2078/079/W/SQ/19
179,Dumre-Besishahar-Chame Road Project,"Reactive Maintenance works on Dumre Besishahar Road [Ch:- 9+500-12+000], Tanahun",10935903.44,Works,NCB,In-Progress,DBCRP/33701121/078/79-03
180,Bharatpur Metropolitian City Office,"Different Construction works at Balkumari Sabji Mandi ,Bharatpur-2",1471487.11,Works,Sealed Quotation,In-Progress,11-BMC/2078/079/W/SQ/20
181,Bharatpur Metropolitian City Office,"Construction of Blacktopped road in Namuna Marga (Toyanath Bhattarai  House to Adhikari House), Ward no-11",1872410.00,Works,Sealed Quotation,Completed,12-BMC/2078/079/W/SQ/21
182,Dumre-Besishahar-Chame Road Project,"Reactive Maintenance works on Dumre Besishahar Road [Ch: 12+000-15+000], Tanahun",10890689.42,Works,NCB,In-Progress,DBCRP/33701121/078/79-04
183,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Ankur Jabara-Suk Nepali to Aas BK house,  Ward no 22",3165259.20,Works,NCB,In-Progress,13-BMC/2078/079/W/NCB/22
184,Bharatpur Metropolitian City Office,"Mosaic Tiles work in Sarada Ma. Vi., Ward no 19",1099351.35,Works,Sealed Quotation,Completed,14-BMC/2078/079/W/SQ/24
185,Bharatpur Metropolitian City Office,Procurement of Warm Clothes,1423839.55,Goods,Sealed Quotation,Completed,14-BMC/2078/079/G/SQ/25
186,Bharatpur Metropolitian City Office,Blacktopped Road Construction in Ward no 6 (East of Gitanagar Healthpost and  South of Khageri Nahar),5349537.79,Works,NCB,Completed,15-BMC/2078/079/W/NCB/26
187,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Rana Tole, BMC-18",2723539.83,Works,NCB,In-Progress,15-BMC/2078/079/W/NCB/27
188,Bharatpur Metropolitian City Office,Blacktopped Road Construction in Ward no 7 (Ujwol tole 22 no. Marga and  Saptagandaki tole Khadananda Marga),5034206.50,Works,NCB,Completed,15-BMC/2078/079/W/NCB/28
189,Bharatpur Metropolitian City Office,"Additional Storey Construction in Sashinagar Ma.Vi., Ward No-18",3123211.07,Works,NCB,Completed,16-BMC/2078/079/W/NCB/29
190,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Sundar Tole Marga no. 6 and 14, BMC-7",1496446.57,Works,Sealed Quotation,Completed,16-BMC/2078/079/W/SQ/30
191,Bharatpur Metropolitian City Office,"Construction of Road using mosaic tiles in BMC-9 (Keshav Chalise House  Line)""",848969.00,Works,Sealed Quotation,Completed,16-BMC/2078/079/W/SQ/31
192,Bharatpur Metropolitian City Office,"Maintenance Works and Painting of Office Building, BMC",1513733.24,Works,Sealed Quotation,Completed,16-BMC/2078/079/W/SQ/33
193,Bharatpur Metropolitian City Office,"Construction of School Building (First Floor) in Narayani Model Secondary School,  BMC-10",5365394.58,Works,NCB,Completed,16-BMC/2078/079/W/NCB/34
194,Bharatpur Metropolitian City Office,"Construction of Four Room School Building,sajhapur,Bharatpur-28",3391180.57,Works,NCB,In-Progress,17-BMC/2078/079/W/NCB/35
195,Bharatpur Metropolitian City Office,Blacktopped Road Construction from Amulya Chowk to Ward no 23 territory,6489677.90,Works,NCB,In-Progress,45-BMC/2078/079/W/NCB/133
196,"Road Infrastructure Development Office, Pyuthan",Upgrading of Bagdula-Damti Road (0+000 to 3+200),54177878.29,Works,NCB,In-Progress,RIDOPYU/NCB/078/79/12
197,Bharatpur Metropolitian City Office,"Police chauki agadiko bato slab dhalan (Devghat, BMC 1)",1659577.33,Works,NCB,Completed,25-BMC/2078/079/W/NCB/69
198,Bharatpur Metropolitian City Office,"Construction of Stone Masonry Wall on Ganesthan Pungi Khola, BMC-11",1872836.64,Works,NCB,Completed,25-BMC/2078/079/W/NCB/70
199,Bharatpur Metropolitian City Office,"Construction of Gabion Works in Narayani River (Bhangalo) side, BMC-03",4868785.80,Works,NCB,Completed,25-BMC/2078/079/W/NCB/71
200,Bharatpur Metropolitian City Office,"Blacktopped Road Construction in Sanjivani Marga, BMC-10",3510420.03,Works,NCB,Completed,26-BMC/2078/079/W/NCB/72
201,Bharatpur Metropolitian City Office,"Truss and Different construction works in Ward office building, BMC 23",2732144.55,Works,NCB,Completed,26-BMC/2078/079/W/NCB/73
202,Bharatpur Metropolitian City Office,"Construction of RCC Canal at Bhuwanbasti Ghol,BMC-18",1259197.65,Works,Sealed Quotation,In-Progress,17-BMC/2078/079/W/SQ/36
203,Kathmandu Ringroad Improvement Project,Upgrading/Improvement of Service Track along Koteshwor Bhatbhateni to Manohara,14032469.44,Works,NCB,In-Progress,KRIP/33701134/078/79-10 
204,Bharatpur Metropolitian City Office,Culvert Construction at Torikhet narayani Lift nahar ward no-5,1208974.22,Works,Sealed Quotation,Completed,17-BMC/2078/079/W/SQ/38
205,Bharatpur Metropolitian City Office,Canal lining work at Bikash pokhari taal ward nm 21,469330.17,Works,NCB,Completed,RE-26-BHR/2078/079/W/SQ/076
206,Bharatpur Metropolitian City Office,"""Blacktopped Road   Construction (from Tham   Prasad Tiwari's Chok to Nim   Chok ward no. 24 & 25   Connecting upto yamu   Bhandari's Ghar Chok)""",4702829.05,Works,NCB,Completed,27-BMC/2078/079/W/NCB/78
